timestamp,symbol,model
20260311_105241,064350.KS,transformer
20260311_105513,064350.KS,transformer
20260311_105529,064350.KS,transformer
20260311_105540,064350.KS,transformer
20260311_105551,064350.KS,transformer
20260311_110128,064350.KS,transformer
20260311_110145,064350.KS,transformer
20260311_111231,064350.KS,transformer
20260311_111247,064350.KS,transformer
20260311_121133,064350.KS,transformer
20260311_121924,064350.KS,transformer
20260311_122332,064350.KS,transformer
20260311_171925,064350.KS,transformer
20260312_090845,064350.KS,transformer
20260312_092130,064350.KS,transformer
20260312_093453,064350.KS,transformer
20260312_094804,064350.KS,transformer
20260312_100549,064350.KS,transformer
20260312_101423,064350.KS,transformer
20260312_102813,064350.KS,transformer
20260312_104022,064350.KS,transformer
20260312_105127,064350.KS,transformer
20260312_110208,064350.KS,transformer
20260312_111758,064350.KS,transformer
20260312_112752,064350.KS,transformer
20260312_113243,064350.KS,transformer
20260312_120545,064350.KS,transformer
